,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
124,0,0,0,0,0,24.81,61.82,108.6,160.56,204.28,225.59,241.48,243.61,224.69,199.81,154.39,108.71,60.53,22,1.66,0,0,0,0
125,0,0,0,0,1.11,23.79,67.09,117.35,168.5,221.14,244.71,257.6,246.79,238.1,209.61,170.54,120.54,70.64,26.43,1.95,0,0,0,0
126,0,0,0,0,1.28,23.58,68.03,120.09,174.61,211.47,236.49,244.18,246.56,230.09,205.26,163.61,116.13,67.19,24.51,2.09,0,0,0,0
127,0,0,0,0,1.43,24.76,68.48,120.54,169.03,214.75,240.91,260.41,260.47,245.31,218.09,177.1,126.4,71.92,27.7,2.44,0,0,0,0
128,0,0,0,0,1.59,23.96,58.5,99.95,142.41,185.46,227.11,248.2,242.1,221.19,200.28,161.1,113.28,69.6,27.14,2.46,0,0,0,0
129,0,0,0,0,1.9,27.15,65.14,113.41,164.94,203.83,239.82,241.78,260.74,234.6,200.86,156.04,111.21,66.74,25.41,2.45,0,0,0,0
130,0,0,0,0,2.12,28.51,69.79,121.76,173.12,217.84,250.34,263.24,255.7,239.94,206.75,165.36,118.13,69.29,28.08,2.96,0,0,0,0
131,0,0,0,0,2.4,28.39,68.74,122.51,174.27,212.79,231.35,242.43,233.88,219.62,193.11,160.96,116.22,68.32,28.44,3.31,0,0,0,0
132,0,0,0,0,2.93,32.82,82.96,142.29,193.89,241.05,255.7,258.64,260.68,236.09,203.41,168.56,124.67,75.48,32.65,3.74,0,0,0,0
133,0,0,0,0,2.82,31.36,70.74,121.95,175.4,213.69,240.17,250.06,247.55,226.42,200.61,167.34,120.06,74.19,32.04,3.89,0,0,0,0
134,0,0,0,0,3.15,32.81,74.81,128.25,174.57,209.07,233.33,250.39,246.4,226.2,200.94,167.08,119.59,72.71,31.18,4.12,0,0,0,0
135,0,0,0,0,3.46,32.18,75.36,128.99,180.6,219.81,233.18,235.03,247.93,234.54,216.95,175.49,128.93,77.61,34.86,4.57,0,0,0,0
136,0,0,0,0,3.79,31.99,73.69,125,179.5,221.54,249.02,255.41,249.75,222.37,193.74,157.17,117.47,72.62,32.46,4.77,0,0,0,0
137,0,0,0,0,4.28,32.97,74.29,123.16,170.13,205.04,232.09,231.07,226.52,193.64,175.61,146.61,107.04,66.8,30.37,5.01,0,0,0,0
138,0,0,0,0,4.57,34.83,79.06,130.37,183.89,227.37,249.52,261.81,252.15,229.74,200.02,159.48,116.1,71.71,31.76,5.33,0,0,0,0
139,0,0,0,0,4.71,34.24,81.16,135.64,190.72,235.95,265.02,271.17,259.04,241.53,218.74,175.94,128.02,80.15,37.25,6.13,0,0,0,0
140,0,0,0,0,5.07,35.56,80.57,131.68,179.04,219.15,234.45,256.01,250.89,228.09,202.77,172.09,129.66,78.34,37.41,6.46,0,0,0,0
141,0,0,0,0,5.84,37.5,86.67,145.91,194.76,232.68,255.51,255.3,260.65,237.95,216.32,173.58,132.63,84.75,39.88,6.9,0,0,0,0
142,0,0,0,0,5.7,34.99,82.02,133.71,182.9,222.12,249.01,273.41,266.08,246.95,230.72,192.32,141.03,90.43,41.42,7.49,0,0,0,0
143,0,0,0,0,6.52,38.8,88.11,144.19,196.45,247.42,269.53,280.95,279.5,266.13,234.35,188.96,141.85,88.83,42.9,8.1,0,0,0,0
144,0,0,0,0,6.75,39.96,89.03,143.24,196.38,245.24,272.9,280.46,291.16,262.94,235.23,195.91,146.8,93.61,44.24,8.96,0,0,0,0
145,0,0,0,0,7.11,37.19,81.82,136.75,187.02,233.74,263.56,277.59,273.41,267.26,242.27,193.96,144.16,92.14,42.64,9.12,0,0,0,0
146,0,0,0,0,7,35.27,80.28,128.5,177.08,221.03,260.58,269.8,266.76,250.63,221.74,177.59,133.47,85.54,41.67,9.41,0,0,0,0
147,0,0,0,0,6.9,33.11,75.11,122.05,170.97,212.18,238.32,258.19,254.67,237.25,213.18,178.98,132.16,86.21,42.86,9.87,0,0,0,0
148,0,0,0,0,7.67,38.21,83.3,133.14,180.61,215.69,242.16,243.27,248.39,233.33,214.24,176.61,134.66,85.97,42.95,10.37,0,0,0,0
149,0,0,0,0,7.75,35.1,75.07,124.65,169.1,208.67,225.68,233.4,238.69,223.66,200.27,167.5,130.21,85.2,43.56,10.72,0,0,0,0
150,0,0,0,0,8.44,37.76,81.62,130.99,179.14,216.53,251.07,264.65,261.33,246.91,218.18,179.48,134.19,87.23,44.31,11.56,0,0,0,0
151,0,0,0,0,9.03,41.04,82.17,131.7,180.16,218.65,247.34,261.83,262.21,246.55,224.36,190.84,145.8,97.08,50.72,12.68,0,0,0,0
152,0,0,0,0,9.91,45.84,95.08,147.95,201.1,236.77,251.48,262.37,259.64,245.23,210.11,180.05,131.06,86.67,43.09,11.53,0,0,0,0
153,0,0,0,0,9.68,39.94,84.96,135.24,182.77,225.91,251.95,257.64,257.37,240.43,215.25,184.05,140.5,92.04,46.92,13.19,0,0,0,0
154,0,0,0,0,10.67,46.91,97.12,153.06,206.96,259.29,283.6,303.53,298.67,277.33,250.13,207.17,150.55,98.63,51.44,14.49,0,0,0,0
155,0,0,0,0,9.48,36.1,77.55,125.17,168,206.57,232.59,246.63,247.97,225.67,207.72,169.63,128.28,84.59,44.6,13.43,0,0,0,0
156,0,0,0,0,9.87,37.43,79.93,128.99,174.34,211.73,238.94,250.22,246.3,232.05,204.53,165.35,122.93,80.98,43.53,13.1,0,0,0,0
157,0,0,0,0,9.58,33.43,73.3,118.32,157.45,197.67,234.98,249.92,255.97,245.46,226.03,191.19,145.86,97.31,50.22,14.93,0,0,0,0
158,0,0,0,0,10.99,43.25,89.23,140.48,185.56,214.81,244.15,252.26,266.69,251.73,236.58,198.28,144.83,95.05,48.39,15.01,0,0,0,0
159,0,0,0,0,10.92,44.33,93.11,148.18,200.81,241.94,271.14,276.17,276.43,257.49,228.74,195.08,151.58,98.9,51.81,15.64,0,0,0,0
160,0,0,0,0,11.08,45.98,93.5,145.52,198.62,239.75,273.83,273.94,272.05,245.53,224.64,183.58,140.22,92.03,47.78,14.37,0,0,0,0
161,0,0,0,0,10.83,41.54,86.24,138.32,187.5,228,258.22,263.48,267.92,254.4,229.76,190.01,144,96.85,51.08,16.24,0,0,0,0
162,0,0,0,0,11.37,42.84,88.86,142.24,192.57,232.23,262.48,268.31,263.27,252.73,232.98,189.19,142.52,94.09,49.92,16.5,0,0,0,0
163,0,0,0,0,10.69,40.09,80.64,127.5,175.39,205.27,228.75,240.18,237.76,226.61,201,166.22,125.61,82.17,44.04,15.47,0,0,0,0
164,0,0,0,0,11.59,41.59,88.3,144.04,193.66,231.04,252.76,264.17,264.44,242.86,220.32,183.14,135.73,89.09,47.96,15.74,0,0,0,0
165,0,0,0,0,11.8,44.1,91.89,145.38,195.69,238.66,270.02,285.01,271.99,264.4,223.62,183.4,141.71,94.42,50.16,16.93,0,0,0,0
166,0,0,0,0,12.2,46.82,96.8,157.13,208.54,251.54,268.43,280.58,280.49,265.83,238.5,204.08,155.16,101.82,54.69,17.69,0,0,0,0
167,0,0,0,0,12.44,48.58,94.61,149.92,202.03,249.31,278.4,285.9,285.18,256.75,238.39,198.93,151.18,99.11,51.48,16.85,0,0,0,0
168,0,0,0,0,11.51,41.06,86.23,138.67,190.26,233.52,261.51,278.1,277.04,257.8,235.17,189.45,137.39,91.62,49.1,15.46,0,0,0,0
169,0,0,0,0,11.99,44.66,88.32,139.73,191.72,227.06,254.68,262.87,253.35,236.45,209.38,175.09,131.57,86.39,44.44,14.85,0,0,0,0
170,0,0,0,0,12.39,46.34,92.45,145.75,196.02,231.32,241.14,251.34,254.39,239.69,215.67,178.18,140.23,91.44,50.71,17.62,0,0,0,0
171,0,0,0,0,11.98,44.58,90.74,144.83,198.43,237.74,258.28,279.9,277.41,258.59,232.21,195.33,151.2,100.87,55.57,19.42,0,0,0,0
172,0,0,0,0,12.26,47.29,98.64,154.13,207.51,254.88,283.32,298.16,291.81,280.34,254.19,216.48,163.75,109.18,61.27,21.07,0,0,0,0
173,0,0,0,0,11.92,46.17,91.04,146.62,203.97,241.33,269.29,284.4,285.61,261.04,241.85,198.41,152.94,104.14,58.95,20.24,0,0,0,0
174,0,0,0,0,12.17,47.89,95.44,154.08,206.17,246.62,277.99,291.69,295.29,269.99,246.37,203.19,157.74,106.16,57.31,19.81,0,0,0,0
175,0,0,0,0,11.76,46.75,93.11,146.56,198.02,240.09,265.87,271.42,271.72,253.79,228.77,190.26,143.09,94.49,50.23,17.35,0,0,0,0
176,0,0,0,0,11.67,46.82,97.74,151.53,201.03,242.9,265.44,282.07,274.06,260.29,235.39,204.11,151.58,103.44,56.61,19.82,0,0,0,0
177,0,0,0,0,10.99,43.5,93.65,146.35,197.52,242.88,284.16,299.36,300.51,284.51,258.1,217.87,165.38,112.01,60.85,21.1,0,0,0,0
178,0,0,0,0,10.86,41.67,87.34,140.57,192.39,232.13,262.3,276.78,269.87,250.58,220.24,180.37,137.89,93.4,50.94,17.23,0,0,0,0
179,0,0,0,0,10.2,38.82,83.18,131.61,175.31,211.46,234.44,257.92,262.07,243.85,220.87,185.65,133.53,88.62,49.98,16.93,0,0,0,0
180,0,0,0,0,10.72,44.16,95.1,150.47,208.57,249.67,276.86,291.75,290.33,272.6,243.83,205.05,160.15,109.02,60.35,19.96,0,0,0,0
181,0,0,0,0,10.53,41.45,84.86,137.02,185.61,218.74,241.59,259.83,261.76,252.16,229.76,189,145.87,97.69,52.89,17.7,0,0,0,0
182,0,0,0,0,10.11,43.98,91.91,142.7,194.49,235.78,265.44,265.53,268.25,252.27,233.83,192.17,152.21,101.77,55.92,18.93,0,0,0,0
183,0,0,0,0,9.51,43.81,93.16,151.63,196.86,227.2,245.07,259.7,268.89,251.72,227.54,188.48,142.64,96.44,52.77,18.47,0,0,0,0
