JDay,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
46.0,3.0654166666666662,3.0016666666666665,2.99375,2.9566666666666666,2.9645833333333336,2.9458333333333333,2.9370833333333333,3.0316666666666663,3.8820833333333336,4.9870833333333335,6.2749999999999995,7.36375,8.116666666666667,8.435833333333333,8.285,7.58625,6.100833333333334,5.054166666666666,4.663333333333333,4.2825,3.9341666666666666,3.6245833333333333,3.3995833333333336,3.310416666666667
47.0,3.284166666666667,3.2670833333333333,3.279166666666667,3.2754166666666666,3.2379166666666666,3.21625,3.203333333333333,3.3425,4.1000000000000005,5.089583333333334,6.252916666666667,7.31375,8.041666666666666,8.326666666666666,8.20375,7.587916666666666,6.074166666666667,5.005833333333333,4.679583333333333,4.224583333333333,3.7312499999999997,3.30875,3.08375,3.002083333333333
48.0,2.9499999999999997,2.8674999999999997,2.8158333333333334,2.8345833333333332,2.8541666666666665,2.8800000000000003,2.832916666666667,2.998333333333333,3.93375,5.112916666666667,6.530833333333334,7.694583333333334,8.35125,8.605833333333333,8.526666666666666,7.949583333333333,6.336666666666666,5.099166666666666,4.702083333333333,4.353333333333333,4.08625,3.8837499999999996,3.7062500000000003,3.5704166666666666
49.0,3.48875,3.410833333333333,3.2925,3.2395833333333335,3.2554166666666666,3.24375,3.234583333333333,3.420833333333333,4.180416666666667,5.1433333333333335,6.402916666666666,7.462916666666666,8.002083333333333,8.149166666666668,8.029166666666667,7.4025,5.909583333333334,4.5675,4.0495833333333335,3.5712499999999996,3.1508333333333334,2.846666666666667,2.6054166666666667,2.419583333333333
50.0,2.410416666666667,2.4454166666666666,2.4975,2.4754166666666664,2.4395833333333337,2.405,2.35,2.4929166666666664,3.342916666666667,4.560833333333334,5.860833333333333,6.874166666666667,7.439583333333334,7.6762500000000005,7.655833333333334,7.2058333333333335,5.990416666666667,4.909166666666667,4.5075,4.239583333333333,4.13375,4.0495833333333335,3.9654166666666666,3.9508333333333336
51.0,3.9637499999999997,3.932916666666667,3.8970833333333332,3.8070833333333334,3.719583333333333,3.6779166666666665,3.67375,3.8508333333333336,4.56125,5.6225,6.711666666666667,7.555,8.0925,8.207916666666668,8.024583333333334,7.50125,6.4558333333333335,5.4366666666666665,4.939583333333333,4.445,4.0975,3.81125,3.64,3.5187500000000003
52.0,3.4066666666666667,3.3545833333333337,3.297916666666667,3.2441666666666666,3.25,3.3074999999999997,3.3220833333333335,3.5708333333333333,4.369583333333334,5.40875,6.564166666666666,7.435,7.978333333333333,8.195833333333333,8.112499999999999,7.684166666666666,6.685833333333334,5.610833333333333,5.2370833333333335,4.967083333333333,4.74125,4.524583333333333,4.37375,4.226666666666667
53.0,4.144583333333333,4.116666666666666,4.065,4.0095833333333335,4.0125,4.010416666666667,3.9825,4.229583333333333,4.980416666666667,5.950833333333333,6.8133333333333335,7.477916666666666,7.961666666666667,8.147499999999999,7.93,7.312083333333334,6.19625,4.977083333333334,4.5475,4.189166666666666,3.8283333333333336,3.6062499999999997,3.435416666666667,3.2595833333333335
54.0,3.140416666666667,3.1783333333333332,3.2687500000000003,3.34375,3.4416666666666664,3.4883333333333333,3.48375,3.7716666666666665,4.582916666666667,5.66375,6.68375,7.489999999999999,7.959583333333334,8.084166666666667,7.90375,7.372083333333333,6.260000000000001,4.972083333333333,4.449583333333333,4.079166666666667,3.83375,3.6370833333333334,3.45375,3.3175000000000003
55.0,3.2112499999999997,3.12625,3.044166666666667,2.99,2.96625,2.9791666666666665,3.0124999999999997,3.30625,4.164166666666667,5.399166666666667,6.634166666666666,7.599166666666666,8.231666666666667,8.464166666666666,8.327499999999999,7.796666666666667,6.576249999999999,5.2250000000000005,4.679166666666666,4.128333333333333,3.7133333333333334,3.4150000000000005,3.1512499999999997,2.9475
56.0,2.7825,2.643333333333333,2.558333333333333,2.4829166666666667,2.36875,2.200416666666667,2.0620833333333333,2.4404166666666667,3.6325,5.141666666666667,6.495,7.48875,8.014999999999999,8.17375,8.022083333333333,7.504166666666666,6.215833333333333,4.761666666666667,4.3374999999999995,4.075,3.8408333333333338,3.60875,3.3833333333333333,3.17125
57.0,2.9804166666666667,2.8420833333333335,2.8054166666666664,2.8387499999999997,2.870833333333333,2.8454166666666665,2.66375,2.9691666666666667,4.0216666666666665,5.2612499999999995,6.560833333333334,7.53625,8.008750000000001,8.032083333333334,7.830416666666667,7.3125,6.0825,4.454166666666667,3.7408333333333332,3.158333333333333,2.6925000000000003,2.3845833333333335,2.12625,1.93
58.0,1.7579166666666666,1.5854166666666665,1.4875,1.5295833333333333,1.5775,1.6220833333333333,1.7591666666666665,2.3095833333333333,3.358333333333334,4.7525,6.100416666666667,7.074166666666667,7.709583333333334,7.9875,7.8566666666666665,7.307916666666666,6.041250000000001,4.378333333333333,3.77875,3.2825,2.841666666666667,2.5466666666666664,2.395,2.2429166666666664
59.0,2.1558333333333333,2.2025,2.214583333333333,2.200833333333333,2.174583333333333,2.1529166666666666,2.1675,2.5333333333333337,3.3333333333333335,4.446666666666666,5.547916666666667,6.404583333333334,6.91875,7.1745833333333335,7.142916666666667,6.754166666666666,5.905833333333334,4.7700000000000005,4.260833333333333,3.861666666666667,3.577083333333333,3.422083333333333,3.2879166666666664,3.1216666666666666
60.0,2.8816666666666664,2.6333333333333333,2.467916666666667,2.3541666666666665,2.2825,2.1816666666666666,2.0683333333333334,2.43125,3.232083333333333,4.369166666666667,5.5129166666666665,6.354166666666667,6.847083333333334,7.0225,6.96875,6.64875,5.604166666666667,4.08875,3.598333333333333,3.2329166666666667,2.8074999999999997,2.4225,2.146666666666667,1.9645833333333333
61.0,1.8254166666666667,1.7158333333333333,1.6191666666666666,1.5824999999999998,1.5516666666666667,1.5175,1.5054166666666664,2.07125,3.106666666666667,4.314583333333333,5.442916666666666,6.37875,7.030833333333334,7.347916666666666,7.308333333333334,6.886666666666667,5.7275,4.197916666666667,3.644166666666667,3.2754166666666666,2.9804166666666667,2.7504166666666667,2.6054166666666667,2.5091666666666668
62.0,2.35125,2.10875,1.8395833333333333,1.6858333333333333,1.6458333333333333,1.6379166666666667,1.66375,2.294583333333333,3.267916666666667,4.460416666666666,5.540416666666666,6.47625,7.139166666666667,7.4125000000000005,7.335833333333333,6.898333333333333,5.7370833333333335,4.031666666666667,3.3212500000000005,2.91375,2.5812500000000003,2.3733333333333335,2.2483333333333335,2.10875
63.0,1.9658333333333333,1.9087500000000002,1.8158333333333332,1.6716666666666666,1.4695833333333335,1.3129166666666665,1.1941666666666666,1.8179166666666668,2.967916666666667,4.41125,5.663333333333333,6.684166666666667,7.339583333333334,7.696666666666666,7.642916666666667,7.193333333333334,6.047083333333333,4.072916666666667,3.2604166666666665,2.7120833333333336,2.2258333333333336,1.9154166666666665,1.765,1.7454166666666666
64.0,1.6833333333333333,1.5604166666666668,1.3575,1.1612500000000001,0.9529166666666665,0.8791666666666668,0.8754166666666667,1.70875,2.9137500000000003,4.473333333333334,6.050833333333333,7.160833333333334,7.741666666666667,7.914583333333333,7.7525,7.263333333333333,6.134583333333333,4.577083333333333,3.99625,3.700416666666667,3.3645833333333335,3.0262499999999997,2.7016666666666667,2.49875
65.0,2.3966666666666665,2.275,2.15,2.05875,2.035,2.0625,2.1391666666666667,2.862083333333333,3.9562500000000003,5.364583333333333,6.671250000000001,7.7441666666666675,8.426666666666668,8.704583333333334,8.5875,8.139166666666666,7.085416666666667,5.3220833333333335,4.506666666666667,4.002083333333333,3.55125,3.1791666666666667,2.8691666666666666,2.6816666666666666
66.0,2.5366666666666666,2.5458333333333334,2.4945833333333334,2.372916666666667,2.2883333333333336,2.2041666666666666,2.2091666666666665,2.9408333333333334,4.1000000000000005,5.477083333333333,6.732500000000001,7.7825,8.512500000000001,8.892916666666666,8.855,8.381666666666666,7.229583333333333,5.133333333333334,4.278333333333333,3.8479166666666664,3.4404166666666662,3.0933333333333333,2.84625,2.7279166666666668
67.0,2.745416666666667,2.7516666666666665,2.7329166666666667,2.6833333333333336,2.6458333333333335,2.6799999999999997,2.7633333333333336,3.442083333333333,4.506666666666667,5.887083333333333,7.365833333333334,8.481666666666667,9.1275,9.355416666666667,9.251666666666667,8.787916666666666,7.8500000000000005,6.2804166666666665,5.44625,5.0375000000000005,4.6625000000000005,4.389166666666667,4.2124999999999995,4.022083333333334
68.0,3.825416666666667,3.6750000000000003,3.54125,3.4633333333333334,3.44,3.42625,3.4441666666666664,4.156666666666666,5.345416666666666,6.983333333333333,8.407083333333334,9.292916666666667,9.765833333333333,9.872916666666667,9.681666666666667,9.15125,8.160416666666666,6.542916666666667,5.71375,5.360416666666667,5.104166666666667,4.948333333333333,4.780833333333333,4.559166666666667
