JDay,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
94,0,0,0,0,0,0,25.48958333,61.11541667,111.305,151.4141667,177.9966667,191.44875,196.2145833,179.6325,160.5908333,125.1295833,77.65083333,33.77416667,3.724166667,0,0,0,0,0
95,0,0,0,0,0,0.796666667,26.06625,71.32458333,120.8679167,169.42375,198.3591667,208.3833333,210.93375,201.0158333,168.0175,126.8658333,80.77833333,36.22666667,4.125833333,0,0,0,0,0
96,0,0,0,0,0,1.420416667,28.12,75.58958333,127.1633333,173.8816667,212.0975,227.8425,221.8466667,206.9366667,180.7508333,137.35375,86.82208333,38.99041667,4.877916667,0,0,0,0,0
97,0,0,0,0,0,1.76625,33.86708333,83.68625,138.2675,186.5058333,215.525,225.3395833,224.18375,209.3895833,182.4375,135.87375,88.4,40.54833333,5.29375,0,0,0,0,0
98,0,0,0,0,0,2.1,35.05791667,85.3975,142.135,193.0841667,221.99,236.2029167,231.3620833,218.06125,191.7520833,144.7025,92.18916667,41.155,5.58875,0,0,0,0,0
99,0,0,0,0,0,2.407916667,32.34125,81.00041667,133.7616667,180.48875,207.48625,212.1629167,204.86,185.25875,161.7845833,119.41625,76.88208333,35.27166667,5.715833333,0,0,0,0,0
100,0,0,0,0,0,2.54,32.97166667,78.76291667,132.7075,180.0691667,213.2504167,227.9029167,227.0025,204.3229167,176.8308333,136.58625,86.27458333,40.97166667,6.625833333,0,0,0,0,0
101,0,0,0,0,0,3.222083333,36.06,85.40833333,138.2404167,182.64375,214.8316667,210.695,208.5595833,187.52625,159.0508333,120.50875,78.83791667,38.5775,6.776666667,0,0,0,0,0
102,0,0,0,0,0,3.487916667,35.64833333,81.73666667,134.9095833,181.9795833,203.89125,216.9454167,206.1558333,188.3408333,156.1358333,119.13125,75.745,38.0475,7.3275,0,0,0,0,0
103,0,0,0,0,0,4.348333333,38.80541667,86.90375,139.4108333,185.1266667,213.4454167,226.8579167,217.97625,204.51125,178.0670833,133.58,87.06708333,43.00375,8.400416667,0,0,0,0,0
104,0,0,0,0,0,4.550833333,34.71833333,81.38791667,130.64625,179.9104167,219.1083333,234.60625,226.3079167,201.1691667,174.6383333,134.69,87.78625,43.28958333,8.37625,0,0,0,0,0
105,0,0,0,0,0,5.370833333,41.14375,92.13041667,145.6495833,196.3483333,233.5620833,246.5141667,237.2908333,218.6133333,191.305,148.1908333,97.23416667,48.37166667,9.755416667,0,0,0,0,0
106,0,0,0,0,0,6.0975,45.07291667,101.2395833,157.9720833,208.2783333,235.9516667,242.1495833,231.3291667,214.35875,190.3045833,144.4,95.50125,47.8275,10.46125,0,0,0,0,0
107,0,0,0,0,0,6.60875,44.7525,97.7025,155.2191667,206.6833333,245.7304167,252.4254167,240.7554167,219.7808333,187.99625,143.4083333,95.29166667,48.76708333,10.56708333,0,0,0,0,0
108,0,0,0,0,0,8.407083333,52.18583333,111.6225,174.08875,225.9333333,257.0029167,268.0316667,270.7816667,246.5920833,215.9858333,167.2708333,114.3879167,61.01625,13.83833333,0,0,0,0,0
109,0,0,0,0,0,8.594583333,46.63416667,97.25541667,151.6216667,195.2495833,221.1825,230.3204167,229.0545833,210.0279167,189.09,148.3295833,100.0804167,52.56,12.96125,0,0,0,0,0
110,0,0,0,0,0,9.400416667,49.76541667,103.2025,157.82375,207.0991667,239.0125,245.81125,251.34875,233.72625,209.8745833,163.7354167,108.27,56.395,14.16291667,0,0,0,0,0
111,0,0,0,0,0,10.43791667,54.13708333,109.9791667,166.6683333,216.7120833,249.8558333,262.2475,259.1766667,235.9733333,208.1720833,163.5679167,110.69875,58.92916667,15.43375,0,0,0,0,0
112,0,0,0,0,0,11.29791667,51.62625,108.1370833,163.75,213.145,250.30125,261.8,256.885,233.3245833,194.685,150.70125,104.0029167,56.63541667,15.71875,0,0,0,0,0
113,0,0,0,0,0,11.50666667,50.1675,102.1179167,159.6783333,207.72625,242.1129167,259.46625,246.6770833,233.91,203.0379167,150.0983333,103.7829167,55.43083333,16.00541667,0,0,0,0,0
114,0,0,0,0,0,12.68166667,47.94416667,95.50583333,145.5945833,190.3070833,224.9495833,241.6291667,231.23625,217.46125,182.9075,143.9995833,99.005,54.8575,16.27375,0,0,0,0,0
115,0,0,0,0,0,13.9675,51.37666667,103.52375,155.3504167,196.9925,232.12375,237.4854167,248.6708333,221.6895833,201.6358333,157.57,108.45,60.48458333,19.37541667,0,0,0,0,0
116,0,0,0,0,0,14.39416667,50.19708333,99.36583333,149.4533333,186.2720833,219.62375,237.275,237.4629167,209.9629167,187.7804167,151.7533333,104.0241667,58.22458333,18.86333333,0,0,0,0,0
117,0,0,0,0,0,16.67833333,56.64416667,105.15125,156.4854167,201.9483333,221.5408333,232.0204167,235.6133333,208.6666667,180.38,146.5379167,99.90666667,54.36833333,18.22291667,0,0,0,0,0
118,0,0,0,0,0,15.685,51.59875,94.70291667,146.6358333,177.4870833,196.7283333,208.1558333,204.5541667,193.9891667,169.4820833,130.4525,89.41791667,48.99916667,16.72416667,0,0,0,0,0
119,0,0,0,0,0,16.61416667,55.52958333,101.0745833,152.8179167,182.1591667,204.0266667,205.4429167,208.6970833,197.2716667,172.7491667,138.75625,97.15375,57.0175,20.81583333,0,0,0,0,0
120,0,0,0,0,0,17.90666667,56.83125,109.1379167,158.755,197.25375,214.2520833,225.79875,222.29375,213.3916667,188.1195833,146.7345833,101.2654167,56.83791667,20.93875,0.108333333,0,0,0,0
121,0,0,0,0,0,21.17458333,62.47791667,116.59,168.78,213.93375,237.4404167,240.12875,234.35875,223.3229167,188.6008333,148.9883333,104.2395833,60.37166667,20.47166667,1.122916667,0,0,0,0
122,0,0,0,0,0,20.6025,58.155,105.8741667,153.7216667,191.37875,217.9283333,227.3808333,226.4341667,205.4391667,177.4033333,144.1975,99.32875,58.16916667,20.64291667,1.29875,0,0,0,0
123,0,0,0,0,0,23.75958333,59.30125,105.8283333,155.6670833,200.8066667,235.45375,239.82875,240.2920833,227.6558333,192.77375,153.1,110.08375,64.1875,22.03208333,1.42375,0,0,0,0
124,0,0,0,0,0,24.80958333,61.82416667,108.5970833,160.55875,204.2779167,225.5933333,241.4795833,243.6075,224.6929167,199.8116667,154.3858333,108.7079167,60.535,21.99625,1.662083333,0,0,0,0
125,0,0,0,0,1.113333333,23.78458333,67.09208333,117.3466667,168.4991667,221.14375,244.7125,257.6020833,246.7933333,238.0979167,209.6075,170.5454167,120.535,70.6425,26.42458333,1.955,0,0,0,0
126,0,0,0,0,1.28125,23.585,68.03208333,120.08875,174.61,211.475,236.4916667,244.18375,246.5620833,230.0883333,205.26,163.6141667,116.1254167,67.1925,24.50791667,2.08875,0,0,0,0
