Date,Total Degree Days,Sum Unaffected Daily Thermal Time
1981-06-16,1050.5838678904206,2050.0499999999997
1981-06-17,1052.5338678904207,2060.9999999999995
1981-06-18,1054.0838678904206,2071.5499999999997
1981-06-19,1055.3838678904206,2081.85
1981-06-20,1059.8338678904206,2095.2999999999997
1981-06-21,1063.4338678904205,2107.8999999999996
1981-06-22,1067.8338678904206,2121.2999999999997
1981-06-23,1074.1338678904206,2136.6
1981-06-24,1078.7838678904207,2150.25
1981-06-25,1081.2838678904207,2161.75
1981-06-26,1082.3838678904206,2171.85
1981-06-27,1083.4838678904205,2181.95
1981-06-28,1083.4838678904205,2190.75
1981-06-29,1086.0338678904204,2202.3
1981-06-30,1090.8338678904204,2216.1000000000004
1981-07-01,1095.9338678904203,2230.2000000000003
1981-07-02,1099.2338678904202,2242.5000000000005
1981-07-03,1102.8338678904202,2255.1000000000004
1981-07-04,1106.5338678904202,2267.8
1981-07-05,1113.5338678904202,2283.8
1981-07-06,1121.5838678904202,2300.8500000000004
1981-07-07,1130.0338678904202,2318.3
1981-07-08,1138.9838678904202,2336.25
1981-07-09,1149.4338678904203,2355.7
1981-07-10,1157.5338678904202,2372.7999999999997
1981-07-11,1163.4338678904203,2387.7
1981-07-12,1169.3838678904203,2402.6499999999996
1981-07-13,1177.1338678904203,2419.3999999999996
1981-07-14,1183.3838678904203,2434.6499999999996
1981-07-15,1191.2338678904202,2451.4999999999995
1981-07-16,1196.9838678904202,2466.2499999999995
1981-07-17,1200.5338678904202,2478.7999999999997
1981-07-18,1205.0338678904202,2492.2999999999997
1981-07-19,1209.4838678904202,2505.7499999999995
1981-07-20,1218.2838678904202,2523.5499999999997
1981-07-21,1227.7838678904202,2542.0499999999997
1981-07-22,1233.3338678904202,2556.6
1981-07-23,1237.13386789042,2569.4
1981-07-24,1239.68386789042,2580.9500000000003
1981-07-25,1242.93386789042,2593.2000000000003
1981-07-26,1250.03386789042,2609.3
1981-07-27,1258.18386789042,2626.4500000000003
1981-07-28,1268.18386789042,2645.4500000000003
1981-07-29,1276.48386789042,2662.7500000000005
1981-07-30,1283.28386789042,2678.5500000000006
1981-07-31,1287.83386789042,2692.100000000001
1981-08-01,1292.6838678904198,2705.9500000000007
1981-08-02,1297.4838678904198,2719.750000000001
1981-08-03,1303.7338678904198,2735.000000000001
1981-08-04,1314.4838678904198,2754.750000000001
1981-08-05,1325.7872235248285,2774.8937199454695
1981-08-06,1332.6372235248284,2790.7437199454694
1981-08-07,1338.7372235248283,2805.8437199454693
1981-08-08,1345.0372235248283,2821.1437199454695
1981-08-09,1350.1872235248284,2835.2937199454695
1981-08-10,1357.6372235248284,2851.7437199454694
1981-08-11,1363.9372235248284,2867.0437199454695
1981-08-12,1372.1872235248284,2884.2937199454695
1981-08-13,1380.5872235248285,2901.6937199454696
